bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,18,existing credits paid back duly till now,radio/television,1301,... < 1000,... >= 7 years,< 20,male : married/widowed,guarantor,1 <= ... < 4 years,real estate,32,none,own,1,unskilled - resident,1,none,yes,good
yes,6,critical account/ other credits existing (other lender),car (new),1323,1000 <= ... < 5000,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,28,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
yes,24,existing credits paid back duly till now,car (new),3123,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,bad
yes,36,existing credits paid back duly till now,car (used),5493,... < 1000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,unknown / no property,42,none,for free,1,skilled employee / official,2,none,yes,good
yes,9,existing credits paid back duly till now,radio/television,1126,1000 <= ... < 5000,... >= 7 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,49,none,own,1,skilled employee / official,1,none,yes,good
yes,24,critical account/ other credits existing (other lender),radio/television,1216,1000 <= ... < 5000,... < 1 year,< 20,male : single,none,>= 7 years,unknown / no property,38,bank,own,2,skilled employee / official,2,none,yes,bad
yes,24,existing credits paid back duly till now,car (new),1207,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,bad
no,10,existing credits paid back duly till now,car (new),1309,unknown/no savings,1 <= ... < 4 years,< 20,male : single,guarantor,>= 7 years,building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,bad
yes,15,critical account/ other credits existing (other lender),car (used),2360,5000 <= ... < 10000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,36,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,15,all credits at this bank paid back duly,car (new),6850,1000 <= ... < 5000,unemployed,>= 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,registered under the customers name,yes,bad
no,24,existing credits paid back duly till now,radio/television,1413,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,1 <= ... < 4 years,building society savings agreement/ life insurance,28,none,own,1,skilled employee / official,1,none,yes,good
no,39,existing credits paid back duly till now,car (used),8588,1000 <= ... < 5000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,car (new),759,... < 1000,4 <= ... < 7 years,< 20,male : single,none,1 <= ... < 4 years,real estate,26,none,own,1,skilled employee / official,1,none,yes,bad
no,36,existing credits paid back duly till now,car (used),4686,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,unknown / no property,32,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,15,existing credits paid back duly till now,business,2687,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,26,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,12,delay in paying off in the past,radio/television,585,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,co-applicant,>= 7 years,real estate,20,none,rent,2,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,car (new),2255,unknown/no savings,... < 1 year,< 20,male : single,none,< 1 year,building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,yes,good
yes,6,critical account/ other credits existing (other lender),car (new),609,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,no,good
yes,6,critical account/ other credits existing (other lender),car (new),1361,... < 1000,... < 1 year,25 <= ... < 35,male : single,none,>= 7 years,real estate,40,none,own,1,unskilled - resident,2,none,no,good
no,36,critical account/ other credits existing (other lender),furniture/equipment,7127,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,6,existing credits paid back duly till now,car (new),1203,1000 <= ... < 5000,... >= 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,6,critical account/ other credits existing (other lender),radio/television,700,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,good
no,24,critical account/ other credits existing (other lender),repairs,5507,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,3190,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,24,none,own,1,skilled employee / official,1,none,yes,bad
yes,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,>= 7 years,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,bad
no,24,existing credits paid back duly till now,car (used),3488,1000 <= ... < 5000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,23,none,own,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,1113,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,guarantor,>= 7 years,real estate,26,none,own,1,unskilled - resident,2,none,yes,good
yes,26,existing credits paid back duly till now,car (used),7966,... < 1000,... < 1 year,25 <= ... < 35,male : single,none,4 <= ... < 7 years,car or other-not included in savings,30,none,own,2,skilled employee / official,1,none,yes,good
no,15,critical account/ other credits existing (other lender),education,1532,1000 <= ... < 5000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,31,none,own,1,skilled employee / official,1,none,yes,good
no,4,critical account/ other credits existing (other lender),radio/television,1503,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,real estate,42,none,own,2,unskilled - resident,2,none,yes,good
yes,36,existing credits paid back duly till now,radio/television,2302,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,31,none,rent,1,skilled employee / official,1,none,yes,bad
yes,6,existing credits paid back duly till now,car (new),662,... < 1000,... < 1 year,20 <= ... < 25,male : single,none,>= 7 years,real estate,41,none,own,1,unskilled - resident,2,registered under the customers name,yes,good
yes,36,existing credits paid back duly till now,education,2273,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,< 1 year,car or other-not included in savings,32,none,own,2,skilled employee / official,2,none,yes,good
yes,15,existing credits paid back duly till now,car (new),2631,1000 <= ... < 5000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,28,none,rent,2,skilled employee / official,1,registered under the customers name,yes,bad
no,12,delay in paying off in the past,car (used),1503,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,>= 7 years,real estate,41,none,rent,1,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,radio/television,1311,1000 <= ... < 5000,4 <= ... < 7 years,< 20,male : married/widowed,none,4 <= ... < 7 years,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,radio/television,3105,unknown/no savings,... < 1 year,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,25,none,own,2,skilled employee / official,1,none,yes,good
yes,21,critical account/ other credits existing (other lender),education,2319,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,33,none,rent,1,skilled employee / official,1,none,yes,bad
yes,6,existing credits paid back duly till now,car (new),1374,unknown/no savings,unemployed,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,18,critical account/ other credits existing (other lender),furniture/equipment,3612,... < 1000,... >= 7 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,37,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,48,existing credits paid back duly till now,car (new),7763,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,42,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,bad
yes,18,existing credits paid back duly till now,furniture/equipment,3049,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,45,stores,own,1,unskilled - resident,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,1534,... < 1000,... < 1 year,>= 35,male : married/widowed,none,< 1 year,real estate,23,none,rent,1,skilled employee / official,1,none,yes,bad
no,24,delay in paying off in the past,car (new),2032,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,60,none,for free,2,skilled employee / official,1,registered under the customers name,yes,good
yes,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,none,yes,bad
yes,18,existing credits paid back duly till now,furniture/equipment,2864,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,< 1 year,real estate,34,none,own,1,unskilled - resident,2,none,yes,bad
no,12,critical account/ other credits existing (other lender),car (new),1255,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,real estate,61,none,own,2,unskilled - resident,1,none,yes,good
yes,24,delay in paying off in the past,car (new),1333,... < 1000,unemployed,< 20,male : single,none,1 <= ... < 4 years,real estate,43,none,for free,2,skilled employee / official,2,none,yes,bad
no,24,critical account/ other credits existing (other lender),car (new),2022,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,37,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,24,existing credits paid back duly till now,radio/television,1552,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,< 1 year,car or other-not included in savings,32,bank,own,1,skilled employee / official,2,none,yes,good
yes,12,all credits at this bank paid back duly,radio/television,626,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,real estate,24,bank,own,1,unskilled - resident,1,none,yes,bad
no,48,critical account/ other credits existing (other lender),car (used),8858,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : single,none,< 1 year,unknown / no property,35,none,for free,2,skilled employee / official,1,registered under the customers name,yes,good
no,12,critical account/ other credits existing (other lender),repairs,996,unknown/no savings,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,>= 7 years,real estate,23,none,own,2,skilled employee / official,1,none,yes,good
no,6,all credits at this bank paid back duly,radio/television,1750,5000 <= ... < 10000,... >= 7 years,25 <= ... < 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,45,bank,own,1,unskilled - resident,2,none,yes,good
yes,48,existing credits paid back duly till now,radio/television,6999,... < 1000,4 <= ... < 7 years,>= 35,male : married/widowed,guarantor,< 1 year,real estate,34,none,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,12,critical account/ other credits existing (other lender),car (new),1995,1000 <= ... < 5000,... < 1 year,< 20,male : single,none,< 1 year,car or other-not included in savings,27,none,own,1,skilled employee / official,1,none,yes,good
yes,9,existing credits paid back duly till now,education,1199,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,67,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,radio/television,1331,... < 1000,... < 1 year,25 <= ... < 35,male : single,none,< 1 year,car or other-not included in savings,22,stores,own,1,skilled employee / official,1,none,yes,bad
yes,18,no credits taken/ all credits paid back duly,car (new),2278,1000 <= ... < 5000,... < 1 year,20 <= ... < 25,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,28,none,own,2,skilled employee / official,1,none,yes,bad
no,21,no credits taken/ all credits paid back duly,car (new),5003,unknown/no savings,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,29,bank,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,24,all credits at this bank paid back duly,furniture/equipment,3552,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,none,>= 7 years,car or other-not included in savings,27,bank,own,1,skilled employee / official,1,none,yes,bad
yes,18,critical account/ other credits existing (other lender),furniture/equipment,1928,... < 1000,... < 1 year,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,31,none,own,2,unskilled - resident,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (used),2964,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,49,bank,for free,1,skilled employee / official,2,registered under the customers name,yes,good
yes,24,all credits at this bank paid back duly,radio/television,1546,... < 1000,4 <= ... < 7 years,< 20,male : single,guarantor,>= 7 years,car or other-not included in savings,24,bank,rent,1,unskilled - resident,1,none,yes,bad
yes,6,delay in paying off in the past,radio/television,683,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,car (new),12389,unknown/no savings,1 <= ... < 4 years,>= 35,male : single,none,>= 7 years,unknown / no property,37,none,for free,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,24,delay in paying off in the past,business,4712,unknown/no savings,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,37,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,24,delay in paying off in the past,radio/television,1553,1000 <= ... < 5000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,23,none,rent,2,skilled employee / official,1,registered under the customers name,yes,good
yes,12,existing credits paid back duly till now,car (new),1372,... < 1000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,36,none,own,1,skilled employee / official,1,none,yes,bad
no,24,critical account/ other credits existing (other lender),radio/television,2578,... >= 10000,... >= 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,34,none,own,1,skilled employee / official,1,none,yes,good
yes,48,existing credits paid back duly till now,radio/television,3979,unknown/no savings,4 <= ... < 7 years,< 20,male : single,none,< 1 year,car or other-not included in savings,41,none,own,2,skilled employee / official,2,registered under the customers name,yes,good
yes,48,existing credits paid back duly till now,radio/television,6758,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,31,none,own,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,24,existing credits paid back duly till now,furniture/equipment,3234,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,real estate,23,none,rent,1,unskilled - resident,1,registered under the customers name,yes,bad
no,30,critical account/ other credits existing (other lender),radio/television,5954,... < 1000,4 <= ... < 7 years,20 <= ... < 25,male : single,co-applicant,1 <= ... < 4 years,car or other-not included in savings,38,none,own,1,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,car (used),5433,unknown/no savings,unemployed,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,15,existing credits paid back duly till now,business,806,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes,good
yes,9,existing credits paid back duly till now,radio/television,1082,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,27,none,own,2,unskilled - resident,1,none,yes,good
no,15,critical account/ other credits existing (other lender),furniture/equipment,2788,... < 1000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,co-applicant,4 <= ... < 7 years,car or other-not included in savings,24,bank,own,2,skilled employee / official,1,none,yes,good
yes,12,existing credits paid back duly till now,radio/television,2930,... < 1000,4 <= ... < 7 years,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,real estate,27,none,own,1,skilled employee / official,1,none,yes,good
no,24,critical account/ other credits existing (other lender),education,1927,unknown/no savings,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,33,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
yes,36,critical account/ other credits existing (other lender),car (new),2820,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,27,none,own,2,skilled employee / official,1,none,yes,bad
no,24,existing credits paid back duly till now,retraining,937,... < 1000,... < 1 year,< 20,male : married/widowed,none,4 <= ... < 7 years,car or other-not included in savings,27,none,own,2,unskilled - resident,1,none,yes,good
yes,18,critical account/ other credits existing (other lender),car (new),1056,... < 1000,... >= 7 years,20 <= ... < 25,male : single,guarantor,4 <= ... < 7 years,real estate,30,bank,own,2,skilled employee / official,1,none,yes,bad
yes,12,critical account/ other credits existing (other lender),car (new),3124,... < 1000,... < 1 year,>= 35,male : single,none,4 <= ... < 7 years,real estate,49,bank,own,2,unskilled - resident,2,none,yes,good
no,9,existing credits paid back duly till now,furniture/equipment,1388,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,26,none,rent,1,skilled employee / official,1,none,yes,good
yes,36,existing credits paid back duly till now,repairs,2384,... < 1000,... < 1 year,< 20,male : single,none,< 1 year,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,bad
no,12,existing credits paid back duly till now,car (new),2133,unknown/no savings,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,unknown / no property,52,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,18,existing credits paid back duly till now,furniture/equipment,2039,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,>= 7 years,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,bad
yes,9,critical account/ other credits existing (other lender),car (new),2799,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,36,none,rent,2,skilled employee / official,2,none,yes,good
yes,12,existing credits paid back duly till now,furniture/equipment,1289,... < 1000,1 <= ... < 4 years,< 20,male : single,guarantor,< 1 year,building society savings agreement/ life insurance,21,none,own,1,unskilled - resident,1,none,yes,good
yes,18,existing credits paid back duly till now,domestic appliances,1217,... < 1000,1 <= ... < 4 years,< 20,male : married/widowed,none,4 <= ... < 7 years,real estate,47,none,own,1,unskilled - resident,1,registered under the customers name,yes,bad
yes,12,critical account/ other credits existing (other lender),furniture/equipment,2246,... < 1000,... >= 7 years,20 <= ... < 25,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,none,yes,bad
yes,12,critical account/ other credits existing (other lender),radio/television,385,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,real estate,58,none,own,4,unskilled - resident,1,registered under the customers name,yes,good
yes,24,delay in paying off in the past,car (new),1965,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,42,none,rent,2,skilled employee / official,1,registered under the customers name,yes,good
no,21,existing credits paid back duly till now,business,1572,... >= 10000,... >= 7 years,< 20,female : divorced/separated/married,none,>= 7 years,real estate,36,bank,own,1,unskilled - resident,1,none,yes,good
yes,24,existing credits paid back duly till now,car (new),2718,... < 1000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1,registered under the customers name,yes,bad
yes,24,all credits at this bank paid back duly,others,1358,unknown/no savings,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,40,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,6,all credits at this bank paid back duly,car (new),931,1000 <= ... < 5000,... < 1 year,>= 35,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,none,yes,bad
yes,24,existing credits paid back duly till now,car (new),1442,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,>= 7 years,car or other-not included in savings,23,none,rent,2,skilled employee / official,1,none,yes,bad
yes,24,no credits taken/ all credits paid back duly,business,4241,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,>= 7 years,real estate,36,none,own,3,unskilled - resident,1,registered under the customers name,yes,bad
no,18,critical account/ other credits existing (other lender),car (new),2775,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,none,yes,bad
no,24,delay in paying off in the past,business,3863,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,good
yes,7,existing credits paid back duly till now,radio/television,2329,... < 1000,... < 1 year,>= 35,female : divorced/separated/married,guarantor,< 1 year,real estate,45,none,own,1,skilled employee / official,1,none,yes,good
yes,9,existing credits paid back duly till now,furniture/equipment,918,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes,bad
yes,24,all credits at this bank paid back duly,education,1837,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,>= 7 years,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes,bad
no,36,existing credits paid back duly till now,furniture/equipment,3349,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,28,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,10,existing credits paid back duly till now,furniture/equipment,1275,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes,good
yes,24,all credits at this bank paid back duly,furniture/equipment,2828,5000 <= ... < 10000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,real estate,22,stores,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,24,critical account/ other credits existing (other lender),business,4526,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,real estate,74,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,36,existing credits paid back duly till now,radio/television,2671,1000 <= ... < 5000,1 <= ... < 4 years,< 20,female : divorced/separated/married,co-applicant,>= 7 years,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,bad
no,18,existing credits paid back duly till now,radio/television,2051,... < 1000,... < 1 year,< 20,male : single,none,< 1 year,real estate,33,none,own,1,skilled employee / official,1,none,yes,good
no,15,existing credits paid back duly till now,car (used),1300,unknown/no savings,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,good
yes,12,existing credits paid back duly till now,domestic appliances,741,1000 <= ... < 5000,unemployed,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,bad
yes,10,existing credits paid back duly till now,car (new),1240,1000 <= ... < 5000,... >= 7 years,>= 35,female : divorced/separated/married,none,>= 7 years,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes,bad
yes,21,existing credits paid back duly till now,radio/television,3357,... >= 10000,... < 1 year,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,29,bank,own,1,skilled employee / official,1,none,yes,good
yes,24,all credits at this bank paid back duly,car (used),3632,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,guarantor,>= 7 years,car or other-not included in savings,22,bank,rent,1,skilled employee / official,1,none,no,good
no,18,delay in paying off in the past,furniture/equipment,1808,... < 1000,4 <= ... < 7 years,< 20,female : divorced/separated/married,none,< 1 year,real estate,22,none,own,1,skilled employee / official,1,none,yes,bad
yes,48,no credits taken/ all credits paid back duly,business,12204,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,car or other-not included in savings,48,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,60,delay in paying off in the past,radio/television,9157,unknown/no savings,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,unknown / no property,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,good
yes,6,critical account/ other credits existing (other lender),car (new),3676,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,4 <= ... < 7 years,real estate,37,none,rent,3,skilled employee / official,2,none,yes,good
yes,30,existing credits paid back duly till now,furniture/equipment,3441,1000 <= ... < 5000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,co-applicant,>= 7 years,car or other-not included in savings,21,none,rent,1,skilled employee / official,1,none,yes,bad
no,12,existing credits paid back duly till now,car (new),640,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,49,none,own,1,unskilled - resident,1,none,yes,good
yes,21,critical account/ other credits existing (other lender),business,3652,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,good
no,18,critical account/ other credits existing (other lender),car (new),1530,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,none,yes,bad
no,48,existing credits paid back duly till now,business,3914,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,real estate,38,bank,own,1,skilled employee / official,1,none,yes,bad
yes,12,existing credits paid back duly till now,furniture/equipment,1858,... < 1000,... < 1 year,< 20,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,22,none,rent,1,skilled employee / official,1,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,2600,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,bad
no,15,existing credits paid back duly till now,radio/television,1979,unknown/no savings,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,car or other-not included in savings,35,none,own,1,skilled employee / official,1,none,yes,good
yes,6,existing credits paid back duly till now,furniture/equipment,2116,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,real estate,41,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,9,all credits at this bank paid back duly,car (new),1437,1000 <= ... < 5000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,4 <= ... < 7 years,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,bad
no,42,critical account/ other credits existing (other lender),furniture/equipment,4042,5000 <= ... < 10000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,real estate,36,none,own,2,skilled employee / official,1,registered under the customers name,yes,good
